CDRC Products,Level,Level Code,Classification Code,Classification Name
2021 OAC and UK-OAC,Subgroup,subg,3c1,Centrally Located Professionals 
2021 OAC and UK-OAC,Subgroup,subg,3c2,Career Progression 
2021 OAC and UK-OAC,Subgroup,subg,4a1,"Semi-Detached, Service Workers and Students "
2021 OAC and UK-OAC,Subgroup,subg,4a2,City Service Workers 
2021 OAC and UK-OAC,Subgroup,subg,4a3,Multi-Child Young Families 
2021 OAC and UK-OAC,Subgroup,subg,4b1,Multi-Generational Migrants 
2021 OAC and UK-OAC,Subgroup,subg,4b2,European Skilled Workforce 
2021 OAC and UK-OAC,Subgroup,subg,4b3,Inner Suburb Ethnic Group Mix 
2021 OAC and UK-OAC,Subgroup,subg,4b4,Ethnic Minority Routine Service Workers 
2021 OAC and UK-OAC,Subgroup,subg,4c1,African and Asian Influences 
2021 OAC and UK-OAC,Subgroup,subg,4c2,European and Asian Heritage 
2021 OAC and UK-OAC,Subgroup,subg,5a1,Outer Suburb Asian Mix 
2021 OAC and UK-OAC,Subgroup,subg,5a2,Suburban Empty Nesters 
2021 OAC and UK-OAC,Subgroup,subg,5a3,Young Suburban Families 
2021 OAC and UK-OAC,Subgroup,subg,5b1,Families in Multi-Ethnic Terraces 
2021 OAC and UK-OAC,Subgroup,subg,5b2,Established Multi-Ethnic Suburbs 
2021 OAC and UK-OAC,Subgroup,subg,6a1,Suburban Housing Starters 
2021 OAC and UK-OAC,Subgroup,subg,6a2,Semi Detached Strivers 
2021 OAC and UK-OAC,Subgroup,subg,6a3,Younger Ethnic Minority Families in Flats 
2021 OAC and UK-OAC,Subgroup,subg,6b1,Retired Seniors 
2021 OAC and UK-OAC,Subgroup,subg,6b2,Traditional Terraces 
2021 OAC and UK-OAC,Subgroup,subg,6b3,EU Singles 
2021 OAC and UK-OAC,Subgroup,subg,6c1,Transient Communities 
2021 OAC and UK-OAC,Subgroup,subg,6c2,Semi-Detached Family Renters 
2021 OAC and UK-OAC,Subgroup,subg,7a1,Ageing Established Urban Communities 
2021 OAC and UK-OAC,Subgroup,subg,7a2,Industry Associations 
2021 OAC and UK-OAC,Subgroup,subg,7b1,Terraces in Transitional Towns 
2021 OAC and UK-OAC,Subgroup,subg,7b2,Families and Later Life 
2021 OAC and UK-OAC,Subgroup,subg,8a1,Retirement Residences 
2021 OAC and UK-OAC,Subgroup,subg,8a2,Flats and Routine Occupations 
2021 OAC and UK-OAC,Subgroup,subg,8b1,Challenged Families 
2021 OAC and UK-OAC,Subgroup,subg,8b2,Retirement Pockets 
2021 OAC and UK-OAC,Subgroup,subg,8b3,Young Families and Neighbourhood Turnover 
